symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,liquidation_price,entry_equity,pnl_return_pct,risk_pct,risk_mult,risk_reasons,pnl,btc_return_pct,eth_return_pct,eth_minus_btc_pct,btc_realized_vol_pct,rotation_regime,rotation_alignment,rotation_overlay_fold,rotation_overlay_multiplier,rotation_overlay_reason,overlay_pnl,overlay_pnl_return_pct
LINK/USDT,2023-05-24 20:00:00+00:00,2023-05-25 00:00:00,short,6.32,6.31,281.155518,1775.23,1.4202,2.6628,-0.1437,1,soft_sl,6.3081,6.39,,1000.0,-0.059361,0.04763,1.191,daily:aligned|obv:aligned|vp:short_below_value,-0.59,-2.4084018862591705,-0.9655241021786498,1.4428777840805207,0.7723820880697502,alt_resilient_down,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-0.59,-0.059361
LINK/USDT,2023-06-05 20:00:00+00:00,2023-06-06 00:00:00,short,6.05,6.01,245.084827,1478.08,1.1825,2.2171,0.0135,1,soft_sl,6.0118,6.11,,999.4064,0.596492,0.04899,1.225,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:cold_short|vp:short_below_value,5.96,-5.923632838320181,-5.338932842589816,0.5846999957303645,0.7960117929013734,risk_off_broad,with_rotation,,1.0,rotation_overlay:no_test_fold,5.96,0.596492
LINK/USDT,2023-06-10 08:00:00+00:00,2023-06-10 12:00:00,short,5.1,4.98,80.938992,408.07,0.3265,0.6121,0.0204,1,soft_sl,4.9813,5.15,,1005.3678,0.876334,0.02777,0.694,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|rsi:cold_short|vp:short_below_value|weekend|funding_window,8.81,-4.2913087465047965,-7.628081669236398,-3.336772922731601,0.8817460302927722,risk_off_broad,with_rotation,,1.0,rotation_overlay:no_test_fold,8.81,0.876334
TRX/USDT,2023-06-20 08:00:00+00:00,2023-06-20 12:00:00,short,0.07,0.07,27247.189996,1867.11,1.4937,2.8007,0.0934,1,soft_sl,0.0681,0.07,,1014.1782,1.850996,0.045,1.125,adx:trend|daily:aligned|obv:aligned|vp:short_below_value|funding_window,18.77,0.8755961425627179,-0.8503732926591567,-1.7259694352218746,0.44112412321987965,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,18.77,1.850996
TRX/USDT,2023-06-20 16:00:00+00:00,2023-06-20 16:00:00,short,0.07,0.07,27582.154652,1915.72,1.5326,2.8736,0.0958,1,soft_sl,0.07,0.07,,1032.9505,-3.346384,0.045,1.125,adx:strong|daily:aligned|obv:aligned|vp:short_below_value|funding_window,-34.57,2.47841847885788,0.2704126833392273,-2.2080057955186527,0.43324129151475305,btc_leads_up,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-34.57,-3.346384
DOGE/USDT,2023-06-29 00:00:00+00:00,2023-06-29 04:00:00,short,0.06,0.06,12431.575592,776.08,0.6209,1.1641,0.0388,1,soft_sl,0.0624,0.06,,998.3841,-0.002746,0.03825,0.956,market:trend|adx:strong|daily:aligned|obv:aligned|vp:inside_value|funding_window|daily_close,-0.03,-1.2860332260818175,-3.7407744946714616,-2.454741268589644,0.5757416955924397,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-0.03,-0.002746
TRX/USDT,2023-07-04 16:00:00+00:00,2023-07-04 16:00:00,long,0.08,0.08,25964.010452,2048.17,1.6385,3.0723,0.1024,1,soft_sl,0.08,0.08,,998.3566,5.317393,0.04287,1.072,daily:aligned|obv:aligned|vp:long_above_value|funding_window,53.09,1.301637681396528,1.651275914991035,0.34963823359450696,0.4977936309022971,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,53.09,5.317393
LINK/USDT,2023-07-11 00:00:00+00:00,2023-07-11 04:00:00,long,6.16,6.19,147.748787,912.48,0.73,1.3687,0.0456,1,soft_sl,6.1878,6.09,,1051.4432,0.130496,0.02826,0.706,daily:aligned|obv:against|vp:inside_value|funding_window|daily_close,1.37,0.22751327985122138,0.4994652406417055,0.2719519607904841,0.5952025985257234,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,1.37,0.130496
LINK/USDT,2023-07-13 16:00:00+00:00,2023-07-13 20:00:00,long,6.61,6.92,202.353994,1368.64,1.0949,2.053,0.0684,1,soft_sl,6.9162,6.81,,1052.8153,5.559572,0.04208,1.052,market:trend|adx:trend|daily:aligned|obv:aligned|rsi:hot_long|vp:long_above_value|funding_window,58.53,2.039105407689057,3.3347593582887747,1.2956539505997178,0.7350146754062149,eth_alt_leads_up,with_rotation,,1.0,rotation_overlay:no_test_fold,58.53,5.559572
LINK/USDT,2023-07-18 04:00:00+00:00,2023-07-18 08:00:00,long,7.09,7.15,128.081677,912.13,0.7297,1.3682,0.0912,1,soft_sl,7.15,6.96,,1111.3473,0.459365,0.04309,1.077,daily:aligned|obv:aligned|pattern:contra|vp:inside_value,5.11,-0.7008851895891177,-1.1095851364307685,-0.4086999468416508,0.37686084594839897,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,5.11,0.459365
DOGE/USDT,2023-07-21 20:00:00+00:00,2023-07-22 00:00:00,long,0.07,0.07,11724.528333,857.69,0.6862,1.2865,0.0465,1,soft_sl,0.0736,0.07,,1116.4524,0.729634,0.04309,1.077,daily:aligned|obv:aligned|vp:inside_value,8.15,0.5284753989652557,0.1517619188629027,-0.37671348010235306,0.5331926834915914,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,8.15,0.729634
DOGE/USDT,2023-07-26 00:00:00+00:00,2023-07-26 00:00:00,long,0.08,0.08,6183.175395,500.28,0.4002,0.7504,0.025,1,soft_sl,0.08,0.08,,1124.5985,-1.105198,0.03051,0.763,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|rsi:hot_long|vp:inside_value|funding_window|daily_close,-12.43,-1.9044101599879126,-0.4658018867924385,1.4386082731954741,0.590431173276761,alt_resilient_down,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-12.43,-1.105198
DOGE/USDT,2023-07-30 00:00:00+00:00,2023-07-30 00:00:00,long,0.08,0.08,6854.243567,549.02,0.4392,0.8235,0.0275,1,soft_sl,0.08,0.08,,1112.1694,-0.239267,0.02308,0.577,daily:aligned|obv:aligned|vp:inside_value|weekend|funding_window|daily_close,-2.66,0.010567221161705831,0.4740831008348545,0.46351587967314867,0.31797998203497435,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-2.66,-0.239267
LINK/USDT,2023-08-08 04:00:00+00:00,2023-08-08 08:00:00,long,7.34,7.43,174.449342,1288.07,1.0305,1.9321,0.1288,1,soft_sl,7.4253,7.3,,1109.5084,1.03111,0.04048,1.012,adx:trend|daily:aligned|obv:aligned|vp:long_below_value,11.44,0.3445359080687549,-0.13320304183339626,-0.47773894990215116,0.34074008103449704,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,11.44,1.03111
LINK/USDT,2023-08-09 20:00:00+00:00,2023-08-10 00:00:00,long,7.67,7.74,189.593555,1460.98,1.1688,2.1915,0.073,1,soft_sl,7.7407,7.59,,1120.9486,0.872597,0.04977,1.244,market:trend|adx:trend|daily:aligned|obv:aligned|vp:inside_value,9.78,1.1256358139966727,0.8955582495112635,-0.23007756448540917,0.5852075552634273,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,9.78,0.872597
