scenario,period,test_start,test_end,selected_candidate,selected_profile,selected_donchian,selected_donchian_exit,selected_volume_mult,selected_sl_atr_mult,fee_mult,slippage_mult,funding_cost_mult,test_trades,test_win_rate,test_return_pct,test_cagr_pct,test_max_dd_pct,test_max_dd_peak_pct,test_final_equity
baseline,1,2024-09-24 20:00:00,2024-12-17 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,1.0,32,71.875,43.67538932427785,389.02924984644756,2.9527958484799077,2.9527958484799077,1436.7538932427785
baseline,2,2024-12-17 04:00:00,2025-03-10 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,1.0,36,83.33333333333334,45.189964051432774,412.01454460988833,4.240510960434235,4.240510960434235,1451.8996405143278
baseline,3,2025-03-10 12:00:00,2025-06-01 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,1.0,27,81.48148148148148,20.60745987237444,127.2055146712674,4.624702912880722,4.624702912880722,1206.0745987237444
baseline,4,2025-06-01 20:00:00,2025-08-24 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,1.0,40,70.0,23.575304816761786,152.7323315364101,3.8874475969886433,3.8874475969886433,1235.7530481676179
baseline,5,2025-08-24 04:00:00,2025-11-15 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,1.0,27,66.66666666666666,23.03219494321954,147.90325071203608,6.083298425766968,6.083298425766968,1230.3219494321954
baseline,6,2025-11-15 12:00:00,2026-02-06 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,growth_70_compound,15,8,1.2,2.0,1.0,1.0,1.0,34,67.64705882352942,10.448131012327917,54.537422998096005,5.13312430981821,5.13312430981821,1104.4813101232792
baseline,7,2026-02-06 20:00:00,2026-05-01 00:00:00,growth_70_compound|D15|DX8|VOL1.5|SL2.0,growth_70_compound,15,8,1.5,2.0,1.0,1.0,1.0,22,68.18181818181817,5.416128322857822,25.989087297851366,5.0450724177435635,5.0450724177435635,1054.1612832285782
slippage_2x,1,2024-09-24 20:00:00,2024-12-17 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,2.0,1.0,32,65.625,30.956647749451392,225.8507060678983,3.089254441874995,3.089254441874995,1309.566477494514
slippage_2x,2,2024-12-17 04:00:00,2025-03-10 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,2.0,1.0,36,80.55555555555556,39.14331580739038,324.97666709833544,4.504591265239234,4.504591265239234,1391.4331580739038
slippage_2x,3,2025-03-10 12:00:00,2025-06-01 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,2.0,1.0,27,70.37037037037037,14.934570652321622,83.98142100057167,5.052347446963678,5.052347446963678,1149.3457065232162
slippage_2x,4,2025-06-01 20:00:00,2025-08-24 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,2.0,1.0,40,60.0,12.590933127405378,68.10668067299308,4.378978791930968,4.378978791930968,1125.9093312740538
slippage_2x,5,2025-08-24 04:00:00,2025-11-15 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,2.0,1.0,27,48.148148148148145,15.859071122521026,90.55203241987574,7.878707999136951,7.878707999136951,1158.5907112252103
slippage_2x,6,2025-11-15 12:00:00,2026-02-06 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,growth_70_compound,15,8,1.2,2.0,1.0,2.0,1.0,34,55.88235294117647,1.4064785890609186,6.308447010185381,7.7500052665270935,7.7500052665270935,1014.0647858906092
