symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,pnl
BNB/USDT,2023-05-08 08:00:00,2023-05-08 12:00:00,short,316.31,314.21,1.691349,533.22,0.4266,0.7998,0.1915,1,2.13
SOL/USDT,2023-05-09 00:00:00,2023-05-09 04:00:00,short,20.62,20.52,9.293467,191.14,0.1529,0.2867,0.0375,1,0.44
BNB/USDT,2023-05-12 00:00:00,2023-05-12 04:00:00,short,307.27,304.28,1.424959,435.72,0.3486,0.6536,0.1609,1,3.1
SOL/USDT,2023-05-21 20:00:00,2023-05-22 00:00:00,short,19.98,19.4,21.487636,423.06,0.3385,0.6346,0.0212,1,11.35
SOL/USDT,2023-05-22 04:00:00,2023-05-22 08:00:00,short,19.53,19.52,15.557843,303.73,0.243,0.4556,-0.0238,1,-0.52
SOL/USDT,2023-05-24 20:00:00,2023-05-25 00:00:00,short,19.18,19.15,14.706001,281.84,0.2255,0.4228,-0.016,1,-0.04
SOL/USDT,2023-06-04 20:00:00,2023-06-05 00:00:00,long,22.19,22.27,15.415496,342.68,0.2741,0.514,0.0171,1,0.51
SOL/USDT,2023-06-08 00:00:00,2023-06-08 04:00:00,short,18.63,18.27,9.623924,177.57,0.1421,0.2664,0.0053,1,2.98
SOL/USDT,2023-06-10 00:00:00,2023-06-10 04:00:00,short,17.39,16.15,8.776866,147.15,0.1177,0.2207,0.0074,1,10.52
SOL/USDT,2023-06-15 04:00:00,2023-06-15 08:00:00,short,14.92,14.66,8.684642,128.44,0.1028,0.1927,0.0141,1,1.88
BNB/USDT,2023-06-29 00:00:00,2023-06-29 04:00:00,short,230.51,230.38,1.072106,247.06,0.1977,0.3706,0.0124,1,-0.44
ETH/USDT,2023-07-11 00:00:00,2023-07-11 04:00:00,long,1879.35,1883.36,0.260284,489.69,0.3917,0.7345,0.0245,1,-0.11
SOL/USDT,2023-07-12 20:00:00,2023-07-13 00:00:00,long,21.84,22.08,8.880643,195.04,0.156,0.2926,0.0191,1,1.71
SOL/USDT,2023-07-13 20:00:00,2023-07-14 00:00:00,long,26.21,26.23,5.46517,143.31,0.1146,0.215,0.0143,1,-0.25
ETH/USDT,2023-07-13 20:00:00,2023-07-14 00:00:00,long,1995.46,2008.28,0.20696,414.31,0.3314,0.6215,0.0414,1,1.66
SOL/USDT,2023-07-27 00:00:00,2023-07-27 04:00:00,long,25.16,25.45,8.038936,203.44,0.1628,0.3052,0.0102,1,1.82
SOL/USDT,2023-08-18 04:00:00,2023-08-18 08:00:00,short,21.54,21.4,6.788288,145.77,0.1166,0.2186,0.0038,1,0.6
SOL/USDT,2023-08-21 20:00:00,2023-08-22 00:00:00,short,21.28,21.19,9.668735,205.32,0.1643,0.308,-0.0032,1,0.34
SOL/USDT,2023-08-23 00:00:00,2023-08-23 04:00:00,short,20.57,20.47,9.293652,190.71,0.1526,0.2861,0.0095,1,0.49
ETH/USDT,2023-08-23 00:00:00,2023-08-23 04:00:00,short,1634.49,1629.4,0.225787,368.47,0.2948,0.5527,0.0184,1,0.28
SOL/USDT,2023-09-01 00:00:00,2023-09-01 04:00:00,short,19.72,19.69,11.090346,218.52,0.1748,0.3278,0.0109,1,-0.14
ETH/USDT,2023-09-02 00:00:00,2023-09-02 04:00:00,short,1628.2,1627.22,0.242563,394.82,0.3159,0.5922,0.0197,1,-0.69
BNB/USDT,2023-09-21 16:00:00,2023-09-21 20:00:00,short,210.71,210.56,2.074126,436.88,0.3495,0.6553,0.0218,1,-0.71
ETH/USDT,2023-09-21 20:00:00,2023-09-22 00:00:00,short,1588.92,1583.06,0.244679,388.06,0.3104,0.5821,-0.0087,1,0.55
BNB/USDT,2023-09-25 04:00:00,2023-09-25 08:00:00,short,208.91,208.43,3.081914,643.1,0.5145,0.9646,0.0,1,0.01
ETH/USDT,2023-10-09 16:00:00,2023-10-09 20:00:00,short,1585.63,1550.5,0.306561,480.71,0.3846,0.7211,0.024,1,9.64
BNB/USDT,2023-10-09 16:00:00,2023-10-09 20:00:00,short,206.94,202.26,2.868799,586.95,0.4696,0.8804,0.0293,1,12.06
BNB/USDT,2023-10-10 00:00:00,2023-10-10 04:00:00,short,205.83,205.6,1.624772,334.24,0.2674,0.5014,0.0167,1,-0.41
ETH/USDT,2023-10-13 00:00:00,2023-10-13 04:00:00,short,1538.82,1537.5,0.28829,443.44,0.3547,0.6652,0.0222,1,-0.66
SOL/USDT,2023-10-16 12:00:00,2023-10-16 16:00:00,long,23.13,24.76,14.639663,350.57,0.2805,0.5258,-0.0459,1,23.08
SOL/USDT,2023-10-24 04:00:00,2023-10-24 08:00:00,long,31.38,31.72,4.449321,140.38,0.1123,0.2106,0.014,1,1.18
SOL/USDT,2023-10-25 20:00:00,2023-10-26 00:00:00,long,32.77,33.03,3.971556,130.66,0.1045,0.196,0.0065,1,0.73
SOL/USDT,2023-10-30 16:00:00,2023-10-30 20:00:00,long,35.05,35.05,5.519515,193.46,0.1548,0.2902,0.0097,1,-0.43
ETH/USDT,2023-10-30 16:00:00,2023-10-30 20:00:00,long,1820.83,1820.84,0.215843,393.01,0.3144,0.5895,0.0197,1,-0.92
SOL/USDT,2023-11-08 00:00:00,2023-11-08 04:00:00,long,42.98,43.46,3.318446,143.42,0.1147,0.2151,0.0072,1,1.28
SOL/USDT,2023-11-09 16:00:00,2023-11-09 16:00:00,long,46.45,43.1,3.231562,144.69,0.1158,0.217,0.0072,1,-11.17
SOL/USDT,2023-11-10 16:00:00,2023-11-10 20:00:00,long,50.91,54.39,2.263877,119.19,0.0954,0.1788,0.006,1,7.58
BNB/USDT,2023-11-15 20:00:00,2023-11-16 00:00:00,long,253.18,254.07,1.165186,295.52,0.2364,0.4433,0.0638,1,0.3
BNB/USDT,2023-11-21 00:00:00,2023-11-21 04:00:00,long,253.26,266.13,0.945227,245.47,0.1964,0.3682,0.0123,1,11.59
SOL/USDT,2023-12-03 08:00:00,2023-12-03 12:00:00,long,63.99,64.15,3.609013,231.22,0.185,0.3468,0.0116,1,0.05
ETH/USDT,2023-12-07 20:00:00,2023-12-08 00:00:00,long,2337.56,2379.75,0.131886,311.07,0.2489,0.4666,0.0706,1,4.78
SOL/USDT,2023-12-08 04:00:00,2023-12-08 08:00:00,long,71.54,72.78,1.933032,139.49,0.1116,0.2092,0.0336,1,2.04
BNB/USDT,2023-12-19 16:00:00,2023-12-19 20:00:00,long,251.18,253.58,1.319236,332.95,0.2664,0.4994,0.0166,1,2.38
BNB/USDT,2023-12-20 20:00:00,2023-12-21 00:00:00,long,259.3,259.9,1.35818,352.58,0.2821,0.5289,-0.3337,1,0.33
ETH/USDT,2023-12-22 16:00:00,2023-12-22 20:00:00,long,2321.73,2339.81,0.122978,286.63,0.2293,0.43,0.0143,1,1.55
ETH/USDT,2023-12-27 20:00:00,2023-12-28 00:00:00,long,2348.61,2388.04,0.147958,350.41,0.2803,0.5256,0.0955,1,4.93
ETH/USDT,2023-12-28 08:00:00,2023-12-28 12:00:00,long,2383.06,2409.98,0.13044,312.6,0.2501,0.4689,0.0156,1,2.78
ETH/USDT,2024-01-09 00:00:00,2024-01-09 04:00:00,long,2331.12,2336.12,0.134898,314.8,0.2518,0.4722,0.0315,1,-0.08
ETH/USDT,2024-01-10 16:00:00,2024-01-10 20:00:00,long,2450.01,2478.05,0.09995,246.28,0.197,0.3694,0.0123,1,2.22
ETH/USDT,2024-01-11 00:00:00,2024-01-11 04:00:00,long,2585.81,2612.32,0.074223,192.91,0.1543,0.2894,0.0096,1,1.51
BNB/USDT,2024-01-11 16:00:00,2024-01-11 20:00:00,long,307.52,309.25,0.765375,236.03,0.1888,0.354,0.0118,1,0.77
SOL/USDT,2024-01-28 16:00:00,2024-01-28 20:00:00,long,97.05,97.79,2.24453,218.66,0.1749,0.328,0.0109,1,1.14
SOL/USDT,2024-01-29 20:00:00,2024-01-30 00:00:00,long,100.54,101.81,2.037539,206.15,0.1649,0.3092,0.0206,1,2.09
ETH/USDT,2024-01-31 00:00:00,2024-01-31 04:00:00,long,2341.96,2349.84,0.168741,395.85,0.3167,0.5938,0.0198,1,0.4
BNB/USDT,2024-02-04 20:00:00,2024-02-05 00:00:00,long,305.42,307.44,1.927429,590.62,0.4725,0.8859,0.0,1,2.54
SOL/USDT,2024-02-08 04:00:00,2024-02-08 08:00:00,long,101.77,102.03,2.606735,265.62,0.2125,0.3984,0.0266,1,0.04
SOL/USDT,2024-02-08 20:00:00,2024-02-09 00:00:00,long,102.28,103.2,2.451691,251.89,0.2015,0.3778,0.0178,1,1.66
ETH/USDT,2024-02-12 20:00:00,2024-02-13 00:00:00,long,2610.91,2659.22,0.147963,389.89,0.3119,0.5848,0.039,1,6.21
SOL/USDT,2024-02-14 16:00:00,2024-02-14 20:00:00,long,117.01,117.14,1.960106,229.48,0.1836,0.3442,0.0115,1,-0.28
BNB/USDT,2024-02-14 16:00:00,2024-02-14 20:00:00,long,332.28,333.78,1.451192,483.29,0.3866,0.7249,0.0242,1,1.05
ETH/USDT,2024-02-19 04:00:00,2024-02-19 08:00:00,long,2888.82,2927.22,0.124588,362.3,0.2898,0.5435,0.0362,1,3.92
ETH/USDT,2024-02-20 00:00:00,2024-02-20 04:00:00,long,2946.55,2956.54,0.120172,354.69,0.2838,0.532,0.0177,1,0.37
BNB/USDT,2024-02-21 16:00:00,2024-02-21 20:00:00,long,369.47,371.67,0.822481,304.79,0.2438,0.4572,0.0152,1,1.09
ETH/USDT,2024-02-26 20:00:00,2024-02-27 00:00:00,long,3181.2,3197.18,0.105678,337.03,0.2696,0.5055,0.0963,1,0.82
BNB/USDT,2024-02-26 20:00:00,2024-02-27 00:00:00,long,397.93,403.94,0.902837,361.98,0.2896,0.543,0.0,1,4.59
BNB/USDT,2024-02-28 16:00:00,2024-02-28 20:00:00,long,413.11,424.85,0.80787,338.48,0.2708,0.5077,0.0169,1,8.69
BNB/USDT,2024-03-12 12:00:00,2024-03-12 16:00:00,long,530.78,546.16,0.417492,224.81,0.1798,0.3372,0.0157,1,5.89
SOL/USDT,2024-03-25 20:00:00,2024-03-26 00:00:00,long,192.39,193.08,0.930886,179.41,0.1435,0.2691,0.0703,1,0.16
ETH/USDT,2024-03-25 20:00:00,2024-03-26 00:00:00,long,3642.53,3650.1,0.068085,248.26,0.1986,0.3724,0.0969,1,-0.15
ETH/USDT,2024-04-17 20:00:00,2024-04-18 00:00:00,short,3000.44,2968.01,0.058247,173.82,0.1391,0.2607,-0.0061,1,1.5
BNB/USDT,2024-04-22 08:00:00,2024-04-22 12:00:00,long,602.99,606.69,0.468997,283.67,0.2269,0.4255,0.0142,1,1.07
SOL/USDT,2024-04-30 16:00:00,2024-04-30 20:00:00,short,127.71,122.05,1.470941,183.69,0.1469,0.2755,0.0092,1,7.89
ETH/USDT,2024-05-01 00:00:00,2024-05-01 04:00:00,short,3012.57,2966.19,0.07701,230.21,0.1842,0.3453,0.0115,1,3.03
SOL/USDT,2024-05-01 12:00:00,2024-05-01 16:00:00,short,122.98,121.62,1.297035,158.63,0.1269,0.2379,-0.0144,1,1.42
ETH/USDT,2024-05-01 12:00:00,2024-05-01 16:00:00,short,2904.19,2870.16,0.074796,215.95,0.1728,0.3239,-0.0159,1,2.06
SOL/USDT,2024-05-20 12:00:00,2024-05-20 16:00:00,long,177.66,179.22,1.400648,249.93,0.1999,0.3749,0.0125,1,1.6
ETH/USDT,2024-05-27 20:00:00,2024-05-28 00:00:00,long,3874.91,3903.22,0.073861,287.25,0.2298,0.4309,0.0287,1,1.4
SOL/USDT,2024-06-11 12:00:00,2024-06-11 16:00:00,short,153.91,147.19,1.896988,285.58,0.2285,0.4284,-0.0286,1,12.12
SOL/USDT,2024-06-11 20:00:00,2024-06-12 00:00:00,short,149.16,148.17,1.525315,226.76,0.1814,0.3401,-0.0227,1,1.0
SOL/USDT,2024-06-15 00:00:00,2024-06-15 04:00:00,short,142.97,142.87,1.536565,219.61,0.1757,0.3294,0.011,1,-0.36
ETH/USDT,2024-06-15 00:00:00,2024-06-15 04:00:00,short,3480.5,3473.56,0.09228,320.86,0.2567,0.4813,0.016,1,-0.11
SOL/USDT,2024-06-18 08:00:00,2024-06-18 12:00:00,short,136.62,135.72,1.355813,184.62,0.1477,0.2769,0.0092,1,0.78
SOL/USDT,2024-06-24 08:00:00,2024-06-24 12:00:00,short,125.11,121.96,2.036556,251.59,0.2013,0.3774,0.0126,1,5.84
ETH/USDT,2024-06-24 12:00:00,2024-06-24 16:00:00,short,3319.39,3269.06,0.099619,328.17,0.2625,0.4923,-0.0243,1,4.28
ETH/USDT,2024-07-03 16:00:00,2024-07-03 20:00:00,short,3302.59,3258.75,0.138351,453.88,0.3631,0.6808,0.0227,1,5.0
SOL/USDT,2024-07-04 08:00:00,2024-07-04 12:00:00,short,134.36,132.41,1.494213,199.3,0.1594,0.299,0.01,1,2.45
ETH/USDT,2024-07-04 08:00:00,2024-07-04 12:00:00,short,3181.17,3131.73,0.108014,340.94,0.2728,0.5114,0.017,1,4.54
