symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,risk_pct,risk_mult,risk_reasons,pnl
SOL/USDT,2023-05-21 20:00:00,2023-05-22 00:00:00,short,19.98,19.4,71.215584,1402.14,1.1217,2.1032,0.0701,1,soft_sl,19.4014,19.64,0.03334,0.833,adx:trend|daily:aligned|obv:aligned|weekend,37.63
SOL/USDT,2023-05-22 04:00:00,2023-05-22 08:00:00,short,19.53,19.52,78.467742,1531.92,1.2255,2.2979,-0.1202,1,soft_sl,19.5178,19.8,0.04241,1.06,adx:strong|daily:aligned|obv:aligned|rsi:cold_short,-2.6
SOL/USDT,2023-05-24 20:00:00,2023-05-25 00:00:00,short,19.18,19.15,74.842238,1434.35,1.1475,2.1515,-0.0813,1,soft_sl,19.145,19.49,0.05,1.25,market:trend|adx:trend|daily:aligned|obv:aligned,-0.23
SOL/USDT,2023-06-04 20:00:00,2023-06-05 00:00:00,long,22.19,22.27,42.340017,941.2,0.753,1.4118,0.0471,1,soft_sl,22.272,21.94,0.02699,0.675,daily:aligned|obv:aligned|rsi:hot_long|weekend,1.39
SOL/USDT,2023-06-08 00:00:00,2023-06-08 04:00:00,short,18.63,18.27,34.98269,645.45,0.5164,0.9682,0.0192,1,soft_sl,18.2742,18.8,0.03569,0.892,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:cold_short|funding_window|daily_close,10.84
SOL/USDT,2023-06-10 00:00:00,2023-06-10 04:00:00,short,17.39,16.15,20.25006,339.51,0.2716,0.5093,0.017,1,soft_sl,16.1466,16.73,0.02248,0.562,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|rsi:cold_short|weekend|funding_window|daily_close,24.28
SOL/USDT,2023-06-15 04:00:00,2023-06-15 08:00:00,short,14.92,14.66,40.528885,599.39,0.4795,0.8991,0.0657,1,soft_sl,14.6634,15.26,0.04491,1.123,adx:strong|daily:aligned|obv:aligned|vol:elevated,8.75
ETH/USDT,2023-06-21 08:00:00,2023-06-21 12:00:00,short,1812.05,1807.4,0.782742,1416.55,1.1332,2.1248,0.0708,1,soft_sl,1807.4005,1831.54,0.03499,0.875,daily:aligned|obv:against|funding_window,0.31
BNB/USDT,2023-06-29 00:00:00,2023-06-29 04:00:00,short,230.51,230.38,3.891706,896.83,0.7175,1.3452,0.0448,1,soft_sl,230.3825,235.2,0.0347,0.868,daily:aligned|obv:aligned|funding_window|daily_close,-1.61
ETH/USDT,2023-07-11 00:00:00,2023-07-11 04:00:00,long,1879.35,1883.36,0.808977,1521.97,1.2176,2.283,0.0761,1,soft_sl,1883.362,1863.53,0.02974,0.744,daily:aligned|obv:against|funding_window|daily_close,-0.33
SOL/USDT,2023-07-12 20:00:00,2023-07-13 00:00:00,long,21.84,22.08,46.292696,1016.7,0.8134,1.525,0.0995,1,soft_sl,22.0848,21.5,0.0499,1.247,adx:strong|daily:aligned|obv:aligned,8.89
SOL/USDT,2023-07-13 20:00:00,2023-07-14 00:00:00,long,26.21,26.23,24.130584,632.75,0.5062,0.9491,0.0633,1,soft_sl,26.2308,25.28,0.04199,1.05,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|rsi:hot_long,-1.09
ETH/USDT,2023-07-13 20:00:00,2023-07-14 00:00:00,long,1995.46,2008.28,0.64935,1299.91,1.0399,1.9499,0.13,1,soft_sl,2008.278,1983.3,0.02984,1.113,market:trend|adx:trend|daily:aligned|obv:aligned|rsi:hot_long,5.2
SOL/USDT,2023-07-27 00:00:00,2023-07-27 04:00:00,long,25.16,25.45,32.411489,820.23,0.6562,1.2303,0.041,1,soft_sl,25.4496,24.81,0.03825,0.956,market:trend|adx:strong|daily:aligned|obv:aligned|funding_window|daily_close,7.33
SOL/USDT,2023-08-18 04:00:00,2023-08-18 08:00:00,short,21.54,21.4,30.191847,648.31,0.5187,0.9725,0.0168,1,soft_sl,21.4043,22.17,0.04199,1.05,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|rsi:cold_short,2.65
SOL/USDT,2023-08-21 20:00:00,2023-08-22 00:00:00,short,21.28,21.19,51.196471,1087.2,0.8698,1.6308,-0.0171,1,soft_sl,21.1938,21.73,0.0499,1.247,adx:strong|daily:aligned|obv:aligned,1.82
SOL/USDT,2023-08-23 00:00:00,2023-08-23 04:00:00,short,20.57,20.47,37.774484,775.15,0.6201,1.1627,0.0388,1,soft_sl,20.4698,21.03,0.03825,0.956,market:trend|adx:strong|daily:aligned|obv:aligned|funding_window|daily_close,2.0
ETH/USDT,2023-08-23 00:00:00,2023-08-23 04:00:00,short,1634.49,1629.4,0.613594,1001.35,0.8011,1.502,0.0501,1,soft_sl,1629.3985,1652.39,0.02557,0.954,adx:strong|daily:aligned|obv:aligned|funding_window|daily_close,0.77
SOL/USDT,2023-09-01 00:00:00,2023-09-01 04:00:00,short,19.72,19.69,40.965044,807.18,0.6457,1.2108,0.0404,1,soft_sl,19.687,20.16,0.0347,0.868,daily:aligned|obv:aligned|funding_window|daily_close,-0.5
ETH/USDT,2023-09-02 00:00:00,2023-09-02 04:00:00,short,1628.2,1627.22,0.626968,1020.52,0.8164,1.5308,0.051,1,soft_sl,1627.2225,1648.64,0.02429,0.607,daily:aligned|obv:aligned|weekend|funding_window|daily_close,-1.79
BNB/USDT,2023-09-21 16:00:00,2023-09-21 20:00:00,short,210.71,210.56,9.001559,1896.03,1.5168,2.844,0.0948,1,soft_sl,210.557,213.06,0.04082,1.021,daily:aligned|obv:aligned|funding_window,-3.08
ETH/USDT,2023-09-21 20:00:00,2023-09-22 00:00:00,short,1588.92,1583.06,0.919438,1458.22,1.1666,2.1873,-0.0327,1,soft_sl,1583.0635,1601.3,0.03039,1.134,daily:aligned|obv:aligned,2.06
BNB/USDT,2023-09-25 04:00:00,2023-09-25 08:00:00,short,208.91,208.43,15.592358,3253.62,2.6029,4.8804,0.0,1,soft_sl,208.4255,210.11,0.04763,1.191,adx:trend|daily:aligned|obv:aligned,0.07
ETH/USDT,2023-10-09 16:00:00,2023-10-09 20:00:00,short,1585.63,1550.5,1.39596,2188.96,1.7512,3.2834,0.1094,1,soft_sl,1550.4995,1567.43,0.04287,1.072,adx:trend|daily:aligned|obv:aligned|funding_window,43.9
BNB/USDT,2023-10-09 16:00:00,2023-10-10 00:00:00,short,206.94,205.07,9.188372,1892.85,1.5143,2.8393,0.0,2,soft_sl,205.07,206.88,0.03015,1.125,market:trend|adx:strong|daily:aligned|obv:aligned|funding_window,12.83
